Id,Label,timeset,Name,gender,sphere,occupation,generation,journal,circle
"#guchkov","#guchkov",,"#guchkov",m,else,politician / minister,,,
"#il'in","#il'in",,"#il'in",m,academic,professor,,,
"#ivanov","#ivanov",,"#ivanov",m,literature,poet / writer,younger,Новый корабль / Иллюстрированная Россия / Встречи / Последние новости / Числа,Зеленая лампа / Круг
"#jablonovskij","#jablonovskij",,"#jablonovskij",m,literature,journalist / poet,elder,Возрождение / Иллюстрированная Россия,
"#jushkevich","#jushkevich",,"#jushkevich",m,literature,publicist / philosopher,,,
"#kartashev","#kartashev",,"#kartashev",m,academic,professor,,,
"#kerenskij","#kerenskij",,"#kerenskij",m,literature / else,politician / publicist / editor,,Дни / Новая Россия / Современные записки / Иллюстрированная Россия,
"#kirill_zajtsev","#kirill_zajtsev",,"#kirill_zajtsev",m,academic / literature,professor,,Россия и слаянство,
"#klodia","#klodia",,"#klodia",f,else,tailor,,,
"#konjus","#konjus",,"#konjus",f,art,musician,,,
"#kornilov","#kornilov",,"#kornilov",m,else,general,,,
"#krymov","#krymov",,"#krymov",m,literature,writer / entrpreneur / publisher,elder,,
"#kugushevy","#kugushevy",,"#kugushevy",m / f,else,prince,,,
"#kurdjumov","#kurdjumov",,"#kurdjumov",f,literature,writer / journalist,elder,,
"#l'vov","#l'vov",,"#l'vov",m,else,prince,,,
"#lolo","#lolo",,"#lolo",m,literature,poet,elder,Последние новости / Возрождение / Русская газета,
"#lopatina","#lopatina",,"#lopatina",f,literature,writer,elder,Последние новости / Современные записки,
"#maan","#maan",,"#maan",m,medicine,doctor,,,
"#maklakov","#maklakov",,"#maklakov",m,academic,professor,,,
"#manuhin","#manuhin",,"#manuhin",m,medicine,doctor,,,
"#manuhina","#manuhina",,"#manuhina",f,literature,writer / journalist,elder,,
"#marga_stepun","#marga_stepun",,"#marga_stepun",f,art,singer,,,
"#mel'gunov","#mel'gunov",,"#mel'gunov",m,academic,professor,,,
"#mihajlov","#mihajlov",,"#mihajlov",m,academic,professor,,,
"#miljukov","#miljukov",,"#miljukov",m,academic,professor,,,
"#minskij","#minskij",,"#minskij",m,literature,poet,elder,,
"#mochul'skij","#mochul'skij",,"#mochul'skij",m,literature,critic / professor,elder,Современные записки / Последние новости,Зеленая лампа / Круг
"#murav'ev","#murav'ev",,"#murav'ev",m,relatives,husband,,,
"#murav'eva","#murav'eva",,"#murav'eva",f,art / literature,artist / writer,,,
"#natasha_zajtseva","#natasha_zajtseva",,"#natasha_zajtseva",f,relatives,daughter,,,
"#nekljudov","#nekljudov",,"#nekljudov",m,literature / else,ambassador / memoirist,,,
"#nobel'","#nobel'",,"#nobel'",m / f,academic,chemist,,,
"#odoevtseva","#odoevtseva",,"#odoevtseva",f,literature,poet,younger,Иллюстрированная Россия / Встречи / Последние новости / Числа,Зеленая лампа / Круг
"#olechka","#olechka",,"#olechka",f,else,acquaintance,,,
"#olejnikov","#olejnikov",,"#olejnikov",m,medicine / else,doctor / patron,,,
"#peti","#peti",,"#peti",m,else,lawyer,,,
"#plevitskaja","#plevitskaja",,"#plevitskaja",f,art,singer,,,
"#prjun'e","#prjun'e",,"#prjun'e",m,else,restaurateur,,,
"#rahmaninov","#rahmaninov",,"#rahmaninov",m,art,composer,,,
"#roschin","#roschin",,"#roschin",m,literature,writer,younger,Возрождение / Современные записки / Иллюстрированная Россия,
"#ruk'e","#ruk'e",,"#ruk'e",m,else,merchant,,,
"#serov","#serov",,"#serov",m,medicine,doctor,,,
"#shahovskoj","#shahovskoj",,"#shahovskoj",m,else,prince,,,
"#shaljapin","#shaljapin",,"#shaljapin",m,art,singer,,,
"#shaljapina","#shaljapina",,"#shaljapina",f,art,musician,,,
"#shassen","#shassen",,"#shassen",m,literature,journalist,,,
"#shpoljanskij","#shpoljanskij",,"#shpoljanskij",m,literature,writer  / editor,elder,Последние новости / Сатирикон,
"#sokolov","#sokolov",,"#sokolov",m,literature,poet / publisher,elder,,
"#soldatskij","#soldatskij",,"#soldatskij",m,else,tailor,,,
"#sorin","#sorin",,"#sorin",m,art,artist,,,
"#stelletskij","#stelletskij",,"#stelletskij",m,art,artist,,,
"#stepun","#stepun",,"#stepun",m,academic / literature,professor / critic,elder,Новый град / Современные записки / Возрождение,
"#trotskij","#trotskij",,"#trotskij",m,literature,journalist / politician,,,
"#tsvibak","#tsvibak",,"#tsvibak",m,literature,writer / journalist,younger,Последние новости,
"#unkovskij","#unkovskij",,"#unkovskij",m,medicine,doctor,,,
"#vishnjak","#vishnjak",,"#vishnjak",m,literature,publicist / editor,elder,Современные записки,Зеленая лампа
"#vrangel'","#vrangel'",,"#vrangel'",f,literature,writer / journalist / activist,elder,Возрождение / Новый журнал,
"#vyrubov","#vyrubov",,"#vyrubov",m,else,entreprenuer,,,
"#vysheslavtsev","#vysheslavtsev",,"#vysheslavtsev",m,academic,philosopher,,,
"#zhirova","#zhirova",,"#zhirova",f,else,acquaintance,,,
"#zurov","#zurov",,"#zurov",m,literature,writer,younger,Иллюстрированная Россия / Последние новости,Круг
